,country,all_articles_count,high_qual_articles_count,population,coverage,quality
140,Seychelles,21,0.0,100000.0,0.00021,0.0
141,Sierra Leone,163,2.0,7700000.0,2.1168831168831167e-05,0.012269938650306749
142,Singapore,68,4.0,5800000.0,1.1724137931034483e-05,0.058823529411764705
143,Slovakia,116,0.0,5400000.0,2.148148148148148e-05,0.0
144,Slovenia,56,1.0,2100000.0,2.6666666666666667e-05,0.017857142857142856
145,Solomon Islands,97,0.0,700000.0,0.00013857142857142857,0.0
146,Somalia,334,8.0,15200000.0,2.1973684210526314e-05,0.023952095808383235
147,South Africa,378,7.0,57700000.0,6.551126516464471e-06,0.018518518518518517
148,South Sudan,132,2.0,13000000.0,1.0153846153846154e-05,0.015151515151515152
149,Spain,872,36.0,46700000.0,1.867237687366167e-05,0.04128440366972477
150,Sri Lanka,461,10.0,21700000.0,2.1244239631336406e-05,0.021691973969631236
151,Sudan,95,2.0,41700000.0,2.2781774580335732e-06,0.021052631578947368
152,Suriname,40,1.0,600000.0,6.666666666666667e-05,0.025
153,Sweden,374,5.0,10200000.0,3.6666666666666666e-05,0.013368983957219251
154,Switzerland,402,1.0,8500000.0,4.729411764705882e-05,0.0024875621890547263
155,Syria,128,10.0,18300000.0,6.994535519125683e-06,0.078125
156,Taiwan,500,11.0,23600000.0,2.1186440677966103e-05,0.022
157,Tajikistan,38,1.0,9100000.0,4.175824175824176e-06,0.02631578947368421
158,Tanzania,405,1.0,59100000.0,6.852791878172589e-06,0.0024691358024691358
159,Thailand,112,3.0,66200000.0,1.6918429003021149e-06,0.026785714285714284
160,Togo,65,3.0,8000000.0,8.125e-06,0.046153846153846156
161,Tonga,63,0.0,100000.0,0.00063,0.0
162,Trinidad and Tobago,28,1.0,1400000.0,2e-05,0.03571428571428571
163,Tunisia,138,0.0,11600000.0,1.1896551724137931e-05,0.0
164,Turkey,348,4.0,81300000.0,4.280442804428044e-06,0.011494252873563218
165,Turkmenistan,32,0.0,5900000.0,5.423728813559322e-06,0.0
166,Tuvalu,54,5.0,10000.0,0.0054,0.09259259259259259
167,Uganda,185,0.0,44100000.0,4.195011337868481e-06,0.0
168,Ukraine,299,15.0,42300000.0,7.068557919621749e-06,0.05016722408026756
169,United Arab Emirates,57,2.0,9500000.0,6e-06,0.03508771929824561
170,United Kingdom,858,55.0,66400000.00000001,1.292168674698795e-05,0.0641025641025641
171,United States,1078,77.0,328000000.0,3.2865853658536586e-06,0.07142857142857142
172,Uruguay,286,2.0,3500000.0,8.171428571428571e-05,0.006993006993006993
173,Uzbekistan,28,2.0,32900000.0,8.510638297872341e-07,0.07142857142857142
174,Vanuatu,58,3.0,300000.0,0.00019333333333333333,0.05172413793103448
175,Venezuela,131,3.0,31800000.0,4.1194968553459116e-06,0.022900763358778626
176,Vietnam,187,12.0,94700000.0,1.9746568109820485e-06,0.06417112299465241
177,Yemen,118,2.0,28900000.0,4.083044982698962e-06,0.01694915254237288
178,Zambia,25,0.0,17700000.0,1.4124293785310734e-06,0.0
179,Zimbabwe,164,2.0,14000000.0,1.1714285714285715e-05,0.012195121951219513
